#Resolution = MIN
#Settling time = 1.0s
level, level (hex),  voltage
0,0,2.152240e-05
1,1,2.639253e-05
2,2,3.567415e-05
3,3,4.461483e-05
4,4,5.217057e-05
5,5,6.044720e-05
6,6,6.927453e-05
7,7,7.883534e-05
8,8,8.817988e-05
9,9,9.775031e-05
10,a,1.065208e-04
11,b,1.165030e-04
12,c,1.258522e-04
13,d,1.353824e-04
14,e,1.461755e-04
15,f,1.553649e-04
16,10,1.661126e-04
17,11,1.766436e-04
18,12,1.861884e-04
19,13,1.964850e-04
20,14,2.058238e-04
21,15,2.149185e-04
22,16,2.243691e-04
23,17,2.337155e-04
24,18,2.428909e-04
25,19,2.519542e-04
26,1a,2.643996e-04
27,1b,2.731646e-04
28,1c,2.824623e-04
29,1d,2.913053e-04
30,1e,3.006364e-04
31,1f,3.098228e-04
32,20,3.188691e-04
33,21,3.282105e-04
34,22,3.376990e-04
35,23,3.467395e-04
36,24,3.562445e-04
37,25,3.650816e-04
38,26,3.742581e-04
39,27,3.836751e-04
40,28,3.929028e-04
41,29,4.020912e-04
42,2a,4.112529e-04
43,2b,4.203495e-04
44,2c,4.295634e-04
45,2d,4.387662e-04
46,2e,4.479162e-04
47,2f,4.571201e-04
48,30,4.666062e-04
49,31,4.759142e-04
50,32,4.853221e-04
51,33,4.945324e-04
52,34,5.047585e-04
53,35,5.150810e-04
54,36,5.245053e-04
55,37,5.338195e-04
56,38,5.429709e-04
57,39,5.524401e-04
58,3a,5.599437e-04
59,3b,5.676028e-04
60,3c,5.528422e-04
61,3d,5.619977e-04
62,3e,5.714605e-04
63,3f,5.807975e-04
64,40,5.890607e-04
65,41,5.977164e-04
66,42,6.065494e-04
67,43,6.166866e-04
68,44,6.229785e-04
69,45,6.324660e-04
70,46,6.418610e-04
71,47,6.508330e-04
72,48,6.600479e-04
73,49,6.696064e-04
74,4a,6.788287e-04
75,4b,6.881921e-04
76,4c,6.976655e-04
77,4d,7.067247e-04
78,4e,7.160023e-04
79,4f,7.249654e-04
80,50,7.345461e-04
81,51,7.437454e-04
82,52,7.529663e-04
83,53,7.622486e-04
84,54,7.714398e-04
85,55,7.806809e-04
86,56,7.900341e-04
87,57,7.997511e-04
88,58,8.088155e-04
89,59,8.182431e-04
90,5a,8.275109e-04
91,5b,8.372600e-04
92,5c,8.463821e-04
93,5d,8.553063e-04
94,5e,8.648000e-04
95,5f,8.739289e-04
96,60,8.833778e-04
97,61,8.924981e-04
98,62,9.020192e-04
99,63,9.111370e-04
100,64,9.206142e-04
101,65,9.298810e-04
102,66,9.391937e-04
103,67,9.483599e-04
104,68,9.578879e-04
105,69,9.671590e-04
106,6a,9.764169e-04
107,6b,9.856348e-04
108,6c,9.948500e-04
109,6d,1.004063e-03
110,6e,1.013436e-03
111,6f,1.022515e-03
112,70,1.032169e-03
113,71,1.041149e-03
114,72,1.050254e-03
115,73,1.059698e-03
116,74,1.069090e-03
117,75,1.078462e-03
118,76,1.087709e-03
119,77,1.097107e-03
120,78,1.106476e-03
121,79,1.115698e-03
122,7a,1.124708e-03
123,7b,1.134031e-03
124,7c,1.143307e-03
125,7d,1.152315e-03
126,7e,1.161907e-03
127,7f,1.170857e-03
128,80,1.179852e-03
129,81,1.189647e-03
130,82,1.198777e-03
131,83,1.207619e-03
132,84,1.217134e-03
133,85,1.226325e-03
134,86,1.235587e-03
135,87,1.244816e-03
136,88,1.254186e-03
137,89,1.263563e-03
138,8a,1.272996e-03
139,8b,1.281986e-03
140,8c,1.291420e-03
141,8d,1.300515e-03
142,8e,1.309948e-03
143,8f,1.319152e-03
144,90,1.328751e-03
145,91,1.338160e-03
146,92,1.347356e-03
147,93,1.356475e-03
148,94,1.366522e-03
149,95,1.375368e-03
150,96,1.384643e-03
151,97,1.393937e-03
152,98,1.403259e-03
153,99,1.412265e-03
154,9a,1.421689e-03
155,9b,1.431070e-03
156,9c,1.440461e-03
157,9d,1.449532e-03
158,9e,1.458712e-03
159,9f,1.467870e-03
160,a0,1.477516e-03
161,a1,1.486658e-03
162,a2,1.495858e-03
163,a3,1.505062e-03
164,a4,1.514408e-03
165,a5,1.523506e-03
166,a6,1.532722e-03
167,a7,1.542034e-03
168,a8,1.551568e-03
169,a9,1.560848e-03
170,aa,1.570118e-03
171,ab,1.579366e-03
172,ac,1.588596e-03
173,ad,1.597896e-03
174,ae,1.606927e-03
175,af,1.616286e-03
176,b0,1.625618e-03
177,b1,1.635291e-03
178,b2,1.644622e-03
179,b3,1.653714e-03
180,b4,1.663266e-03
181,b5,1.672272e-03
182,b6,1.681473e-03
183,b7,1.691110e-03
184,b8,1.700121e-03
185,b9,1.709481e-03
186,ba,1.718601e-03
187,bb,1.728078e-03
188,bc,1.737462e-03
189,bd,1.746544e-03
190,be,1.755678e-03
191,bf,1.764816e-03
192,c0,1.772929e-03
193,c1,1.782219e-03
194,c2,1.791269e-03
195,c3,1.800747e-03
196,c4,1.810018e-03
197,c5,1.819205e-03
198,c6,1.828566e-03
199,c7,1.837762e-03
200,c8,1.847132e-03
201,c9,1.856231e-03
202,ca,1.865422e-03
203,cb,1.874902e-03
204,cc,1.884385e-03
205,cd,1.893433e-03
206,ce,1.902653e-03
207,cf,1.912043e-03
208,d0,1.921494e-03
209,d1,1.930963e-03
210,d2,1.940110e-03
211,d3,1.949394e-03
212,d4,1.958879e-03
213,d5,1.968011e-03
214,d6,1.977633e-03
215,d7,1.986528e-03
216,d8,1.995842e-03
217,d9,2.005013e-03
218,da,2.014595e-03
219,db,2.023681e-03
220,dc,2.032775e-03
221,dd,2.042029e-03
222,de,2.051550e-03
223,df,2.060853e-03
224,e0,2.069779e-03
225,e1,2.079071e-03
226,e2,2.088325e-03
227,e3,2.097909e-03
228,e4,2.107347e-03
229,e5,2.116612e-03
230,e6,2.125593e-03
231,e7,2.134709e-03
232,e8,2.144096e-03
233,e9,2.153297e-03
234,ea,2.162742e-03
235,eb,2.171821e-03
236,ec,2.181355e-03
237,ed,2.190501e-03
238,ee,2.199588e-03
239,ef,2.208922e-03
240,f0,2.218548e-03
241,f1,2.227938e-03
242,f2,2.237223e-03
243,f3,2.246395e-03
244,f4,2.255959e-03
245,f5,2.265081e-03
246,f6,2.274358e-03
247,f7,2.283493e-03
248,f8,2.292756e-03
249,f9,2.301876e-03
250,fa,2.311256e-03
251,fb,2.320348e-03
252,fc,2.329989e-03
253,fd,2.339240e-03
254,fe,2.348355e-03
255,ff,2.357893e-03
256,100,2.368233e-03
257,101,2.377208e-03
258,102,2.386717e-03
259,103,2.396105e-03
260,104,2.405372e-03
261,105,2.414724e-03
262,106,2.423960e-03
263,107,2.433276e-03
264,108,2.442845e-03
265,109,2.451675e-03
266,10a,2.461047e-03
267,10b,2.470356e-03
268,10c,2.479548e-03
269,10d,2.488535e-03
270,10e,2.497965e-03
271,10f,2.507034e-03
272,110,2.516847e-03
273,111,2.525925e-03
274,112,2.535148e-03
275,113,2.544259e-03
276,114,2.553890e-03
277,115,2.562914e-03
278,116,2.572280e-03
279,117,2.581472e-03
280,118,2.590602e-03
281,119,2.599784e-03
282,11a,2.609040e-03
283,11b,2.618463e-03
284,11c,2.627805e-03
285,11d,2.637090e-03
286,11e,2.646113e-03
287,11f,2.655593e-03
288,120,2.664577e-03
289,121,2.673966e-03
290,122,2.683378e-03
291,123,2.692722e-03
292,124,2.702160e-03
293,125,2.711198e-03
294,126,2.720322e-03
295,127,2.729633e-03
296,128,2.739071e-03
297,129,2.748371e-03
298,12a,2.757631e-03
299,12b,2.767194e-03
300,12c,2.776466e-03
301,12d,2.785602e-03
302,12e,2.795015e-03
303,12f,2.804206e-03
304,130,2.813648e-03
305,131,2.823013e-03
306,132,2.832300e-03
307,133,2.841501e-03
308,134,2.850973e-03
309,135,2.860124e-03
310,136,2.869512e-03
311,137,2.878633e-03
312,138,2.887928e-03
313,139,2.897430e-03
314,13a,2.906536e-03
315,13b,2.915712e-03
316,13c,2.924975e-03
317,13d,2.934252e-03
318,13e,2.943266e-03
319,13f,2.952656e-03
320,140,2.960832e-03
321,141,2.969871e-03
322,142,2.978927e-03
323,143,2.988192e-03
324,144,2.997624e-03
325,145,3.006848e-03
326,146,3.016191e-03
327,147,3.025618e-03
328,148,3.034808e-03
329,149,3.043988e-03
330,14a,3.053327e-03
331,14b,3.062414e-03
332,14c,3.071736e-03
333,14d,3.080858e-03
334,14e,3.090266e-03
335,14f,3.099490e-03
336,150,3.109053e-03
337,151,3.118173e-03
338,152,3.127590e-03
339,153,3.136839e-03
340,154,3.146700e-03
341,155,3.155780e-03
342,156,3.164982e-03
343,157,3.174459e-03
344,158,3.183343e-03
345,159,3.192621e-03
346,15a,3.201775e-03
347,15b,3.211030e-03
348,15c,3.220585e-03
349,15d,3.229709e-03
350,15e,3.238793e-03
351,15f,3.248294e-03
352,160,3.257129e-03
353,161,3.266810e-03
354,162,3.275841e-03
355,163,3.285402e-03
356,164,3.294764e-03
357,165,3.303702e-03
358,166,3.313233e-03
359,167,3.322522e-03
360,168,3.331806e-03
361,169,3.341194e-03
362,16a,3.350397e-03
363,16b,3.359750e-03
364,16c,3.368973e-03
365,16d,3.378151e-03
366,16e,3.387212e-03
367,16f,3.396363e-03
368,170,3.405849e-03
369,171,3.415238e-03
370,172,3.424437e-03
371,173,3.433968e-03
372,174,3.443234e-03
373,175,3.452423e-03
374,176,3.461841e-03
375,177,3.471214e-03
376,178,3.480173e-03
377,179,3.489511e-03
378,17a,3.498857e-03
379,17b,3.508150e-03
380,17c,3.517519e-03
381,17d,3.526350e-03
382,17e,3.535670e-03
383,17f,3.545063e-03
384,180,3.554250e-03
385,181,3.563792e-03
386,182,3.572758e-03
387,183,3.582833e-03
388,184,3.591724e-03
389,185,3.600992e-03
390,186,3.609990e-03
391,187,3.619596e-03
392,188,3.628820e-03
393,189,3.637935e-03
394,18a,3.647301e-03
395,18b,3.656123e-03
396,18c,3.665793e-03
397,18d,3.674811e-03
398,18e,3.684295e-03
399,18f,3.693283e-03
400,190,3.703006e-03
401,191,3.712097e-03
402,192,3.721288e-03
403,193,3.730583e-03
404,194,3.739869e-03
405,195,3.749212e-03
406,196,3.758554e-03
407,197,3.767764e-03
408,198,3.777001e-03
409,199,3.786265e-03
410,19a,3.795641e-03
411,19b,3.804873e-03
412,19c,3.814188e-03
413,19d,3.823227e-03
414,19e,3.832568e-03
415,19f,3.842103e-03
416,1a0,3.851345e-03
417,1a1,3.860554e-03
418,1a2,3.870054e-03
419,1a3,3.879195e-03
420,1a4,3.888727e-03
421,1a5,3.897743e-03
422,1a6,3.906990e-03
423,1a7,3.916252e-03
424,1a8,3.925386e-03
425,1a9,3.934860e-03
426,1aa,3.944083e-03
427,1ab,3.953434e-03
428,1ac,3.962878e-03
429,1ad,3.971780e-03
430,1ae,3.981138e-03
431,1af,3.990193e-03
432,1b0,3.999677e-03
433,1b1,4.009079e-03
434,1b2,4.018588e-03
435,1b3,4.027584e-03
436,1b4,4.037000e-03
437,1b5,4.046146e-03
438,1b6,4.055547e-03
439,1b7,4.064871e-03
440,1b8,4.074237e-03
441,1b9,4.083475e-03
442,1ba,4.092749e-03
443,1bb,4.102053e-03
444,1bc,4.111570e-03
445,1bd,4.121228e-03
446,1be,4.130068e-03
447,1bf,4.139129e-03
448,1c0,4.147365e-03
449,1c1,4.156153e-03
450,1c2,4.165234e-03
451,1c3,4.174411e-03
452,1c4,4.184026e-03
453,1c5,4.193187e-03
454,1c6,4.202533e-03
455,1c7,4.211623e-03
456,1c8,4.220831e-03
457,1c9,4.230100e-03
458,1ca,4.239562e-03
459,1cb,4.248692e-03
460,1cc,4.258573e-03
461,1cd,4.267515e-03
462,1ce,4.276845e-03
463,1cf,4.286206e-03
464,1d0,4.295436e-03
465,1d1,4.304722e-03
466,1d2,4.314178e-03
467,1d3,4.323257e-03
468,1d4,4.332353e-03
469,1d5,4.341682e-03
470,1d6,4.350985e-03
471,1d7,4.360281e-03
472,1d8,4.369442e-03
473,1d9,4.378939e-03
474,1da,4.388219e-03
475,1db,4.397649e-03
476,1dc,4.406851e-03
477,1dd,4.416038e-03
478,1de,4.425162e-03
479,1df,4.434441e-03
480,1e0,4.443639e-03
481,1e1,4.453045e-03
482,1e2,4.462409e-03
483,1e3,4.471568e-03
484,1e4,4.481082e-03
485,1e5,4.489973e-03
486,1e6,4.499349e-03
487,1e7,4.508334e-03
488,1e8,4.517805e-03
489,1e9,4.527100e-03
490,1ea,4.536498e-03
491,1eb,4.545868e-03
492,1ec,4.555283e-03
493,1ed,4.564394e-03
494,1ee,4.573575e-03
495,1ef,4.582523e-03
496,1f0,4.592207e-03
497,1f1,4.601469e-03
498,1f2,4.610759e-03
499,1f3,4.620002e-03
500,1f4,4.629401e-03
501,1f5,4.638448e-03
502,1f6,4.647884e-03
503,1f7,4.657219e-03
504,1f8,4.666299e-03
505,1f9,4.675771e-03
506,1fa,4.684752e-03
507,1fb,4.694136e-03
508,1fc,4.703376e-03
509,1fd,4.712482e-03
510,1fe,4.722137e-03
511,1ff,4.731517e-03
512,200,4.741877e-03
513,201,4.750380e-03
514,202,4.759834e-03
515,203,4.768916e-03
516,204,4.778197e-03
517,205,4.787317e-03
518,206,4.796634e-03
519,207,4.805882e-03
520,208,4.815159e-03
521,209,4.824531e-03
522,20a,4.833767e-03
523,20b,4.843147e-03
524,20c,4.852493e-03
525,20d,4.861995e-03
526,20e,4.871180e-03
527,20f,4.880038e-03
528,210,4.889896e-03
529,211,4.899055e-03
530,212,4.908119e-03
531,213,4.917515e-03
532,214,4.927096e-03
533,215,4.936249e-03
534,216,4.945255e-03
535,217,4.954450e-03
536,218,4.963935e-03
537,219,4.973569e-03
538,21a,4.982672e-03
539,21b,4.992110e-03
540,21c,5.001656e-03
541,21d,5.010493e-03
542,21e,5.019342e-03
543,21f,5.028827e-03
544,220,5.037922e-03
545,221,5.047428e-03
546,222,5.056783e-03
547,223,5.066291e-03
548,224,5.075852e-03
549,225,5.084911e-03
550,226,5.093966e-03
551,227,5.103079e-03
552,228,5.112534e-03
553,229,5.121561e-03
554,22a,5.130981e-03
555,22b,5.140214e-03
556,22c,5.149612e-03
557,22d,5.158746e-03
558,22e,5.167946e-03
559,22f,5.177495e-03
560,230,5.186702e-03
561,231,5.196020e-03
562,232,5.205592e-03
563,233,5.214479e-03
564,234,5.224205e-03
565,235,5.233227e-03
566,236,5.242619e-03
567,237,5.251815e-03
568,238,5.261502e-03
569,239,5.270432e-03
570,23a,5.279597e-03
571,23b,5.288883e-03
572,23c,5.297891e-03
573,23d,5.307325e-03
574,23e,5.316186e-03
575,23f,5.325523e-03
576,240,5.333634e-03
577,241,5.342960e-03
578,242,5.351938e-03
579,243,5.361234e-03
580,244,5.370850e-03
581,245,5.379985e-03
582,246,5.389140e-03
583,247,5.398299e-03
584,248,5.407592e-03
585,249,5.416852e-03
586,24a,5.425949e-03
587,24b,5.435646e-03
588,24c,5.444598e-03
589,24d,5.453901e-03
590,24e,5.463233e-03
591,24f,5.472507e-03
592,250,5.482279e-03
593,251,5.491523e-03
594,252,5.500665e-03
595,253,5.509638e-03
596,254,5.519443e-03
597,255,5.528822e-03
598,256,5.537964e-03
599,257,5.547247e-03
600,258,5.556530e-03
601,259,5.565662e-03
602,25a,5.574739e-03
603,25b,5.584360e-03
604,25c,5.593795e-03
605,25d,5.603044e-03
606,25e,5.612296e-03
607,25f,5.621273e-03
608,260,5.630583e-03
609,261,5.639888e-03
610,262,5.649109e-03
611,263,5.658527e-03
612,264,5.667827e-03
613,265,5.677238e-03
614,266,5.686428e-03
615,267,5.695315e-03
616,268,5.705175e-03
617,269,5.713989e-03
618,26a,5.723544e-03
619,26b,5.732703e-03
620,26c,5.742289e-03
621,26d,5.751011e-03
622,26e,5.760686e-03
623,26f,5.770113e-03
624,270,5.779594e-03
625,271,5.789294e-03
626,272,5.797861e-03
627,273,5.806994e-03
628,274,5.816430e-03
629,275,5.825568e-03
630,276,5.834997e-03
631,277,5.844222e-03
632,278,5.853560e-03
633,279,5.862970e-03
634,27a,5.872289e-03
635,27b,5.881531e-03
636,27c,5.890927e-03
637,27d,5.900316e-03
638,27e,5.909834e-03
639,27f,5.919003e-03
640,280,5.928041e-03
641,281,5.937608e-03
642,282,5.946949e-03
643,283,5.955828e-03
644,284,5.965101e-03
645,285,5.974588e-03
646,286,5.984109e-03
647,287,5.992735e-03
648,288,6.002008e-03
649,289,6.011181e-03
650,28a,6.020443e-03
651,28b,6.030201e-03
652,28c,6.039430e-03
653,28d,6.048689e-03
654,28e,6.057856e-03
655,28f,6.067185e-03
656,290,6.076415e-03
657,291,6.085736e-03
658,292,6.094917e-03
659,293,6.104193e-03
660,294,6.113744e-03
661,295,6.123080e-03
662,296,6.132044e-03
663,297,6.141563e-03
664,298,6.150935e-03
665,299,6.160112e-03
666,29a,6.169133e-03
667,29b,6.178773e-03
668,29c,6.188146e-03
669,29d,6.197372e-03
670,29e,6.206161e-03
671,29f,6.215949e-03
672,2a0,6.225109e-03
673,2a1,6.234874e-03
674,2a2,6.243847e-03
675,2a3,6.253058e-03
676,2a4,6.262415e-03
677,2a5,6.271380e-03
678,2a6,6.280495e-03
679,2a7,6.290202e-03
680,2a8,6.299360e-03
681,2a9,6.308528e-03
682,2aa,6.317825e-03
683,2ab,6.327073e-03
684,2ac,6.336765e-03
685,2ad,6.345961e-03
686,2ae,6.354812e-03
687,2af,6.364126e-03
688,2b0,6.374030e-03
689,2b1,6.383033e-03
690,2b2,6.392412e-03
691,2b3,6.401760e-03
692,2b4,6.411002e-03
693,2b5,6.420022e-03
694,2b6,6.429169e-03
695,2b7,6.438794e-03
696,2b8,6.448169e-03
697,2b9,6.457181e-03
698,2ba,6.466584e-03
699,2bb,6.475624e-03
700,2bc,6.485444e-03
701,2bd,6.494596e-03
702,2be,6.503719e-03
703,2bf,6.513293e-03
704,2c0,6.521254e-03
705,2c1,6.530375e-03
706,2c2,6.539266e-03
707,2c3,6.548489e-03
708,2c4,6.558105e-03
709,2c5,6.567083e-03
710,2c6,6.576292e-03
711,2c7,6.585712e-03
712,2c8,6.594878e-03
713,2c9,6.604670e-03
714,2ca,6.613524e-03
715,2cb,6.622550e-03
716,2cc,6.632336e-03
717,2cd,6.641650e-03
718,2ce,6.650529e-03
719,2cf,6.659556e-03
720,2d0,6.669163e-03
721,2d1,6.678436e-03
722,2d2,6.687866e-03
723,2d3,6.697304e-03
724,2d4,6.706587e-03
725,2d5,6.715761e-03
726,2d6,6.724863e-03
727,2d7,6.733972e-03
728,2d8,6.743948e-03
729,2d9,6.753094e-03
730,2da,6.762492e-03
731,2db,6.771470e-03
732,2dc,6.780985e-03
733,2dd,6.790942e-03
734,2de,6.799928e-03
735,2df,6.809105e-03
736,2e0,6.818040e-03
737,2e1,6.827417e-03
738,2e2,6.836732e-03
739,2e3,6.845861e-03
740,2e4,6.854271e-03
741,2e5,6.863678e-03
742,2e6,6.872775e-03
743,2e7,6.881904e-03
744,2e8,6.890934e-03
745,2e9,6.900852e-03
746,2ea,6.909850e-03
747,2eb,6.918930e-03
748,2ec,6.928390e-03
749,2ed,6.937495e-03
750,2ee,6.946614e-03
751,2ef,6.956090e-03
752,2f0,6.966030e-03
753,2f1,6.974590e-03
754,2f2,6.983929e-03
755,2f3,6.993037e-03
756,2f4,7.002531e-03
757,2f5,7.011898e-03
758,2f6,7.021380e-03
759,2f7,7.030931e-03
760,2f8,7.040069e-03
761,2f9,7.049363e-03
762,2fa,7.058471e-03
763,2fb,7.067396e-03
764,2fc,7.076663e-03
765,2fd,7.085727e-03
766,2fe,7.095103e-03
767,2ff,7.104342e-03
768,300,7.115150e-03
769,301,7.124335e-03
770,302,7.133727e-03
771,303,7.143212e-03
772,304,7.152288e-03
773,305,7.160975e-03
774,306,7.170573e-03
775,307,7.179938e-03
776,308,7.189507e-03
777,309,7.198370e-03
778,30a,7.207669e-03
779,30b,7.217033e-03
780,30c,7.226344e-03
781,30d,7.235359e-03
782,30e,7.244948e-03
783,30f,7.254209e-03
784,310,7.263594e-03
785,311,7.272795e-03
786,312,7.281842e-03
787,313,7.291494e-03
788,314,7.300618e-03
789,315,7.309470e-03
790,316,7.319067e-03
791,317,7.328250e-03
792,318,7.337894e-03
793,319,7.346634e-03
794,31a,7.355907e-03
795,31b,7.365297e-03
796,31c,7.374591e-03
797,31d,7.383668e-03
798,31e,7.393060e-03
799,31f,7.402277e-03
800,320,7.411533e-03
801,321,7.420982e-03
802,322,7.430132e-03
803,323,7.439515e-03
804,324,7.448878e-03
805,325,7.458203e-03
806,326,7.467498e-03
807,327,7.476808e-03
808,328,7.485814e-03
809,329,7.494620e-03
810,32a,7.504043e-03
811,32b,7.513351e-03
812,32c,7.522260e-03
813,32d,7.531795e-03
814,32e,7.541112e-03
815,32f,7.550421e-03
816,330,7.559904e-03
817,331,7.569110e-03
818,332,7.578410e-03
